Sample in Buffer,Sample in Window,TRIGGER,ad_data_IBUF[7:0]
610,610,0,df
611,611,0,df
612,612,0,df
613,613,0,df
614,614,0,df
615,615,0,df
616,616,0,df
617,617,0,df
618,618,0,df
619,619,0,df
620,620,0,df
621,621,0,df
622,622,0,df
623,623,0,df
624,624,0,df
625,625,0,df
626,626,0,df
627,627,0,df
628,628,0,df
629,629,0,df
630,630,0,df
631,631,0,df
632,632,0,df
633,633,0,df
634,634,0,df
635,635,0,df
636,636,0,df
637,637,0,df
638,638,0,df
639,639,0,df
640,640,0,df
641,641,0,df
642,642,0,df
643,643,0,df
644,644,0,df
645,645,0,df
646,646,0,df
647,647,0,df
648,648,0,df
649,649,0,df
650,650,0,df
651,651,0,df
652,652,0,df
653,653,0,df
654,654,0,df
655,655,0,df
656,656,0,df
657,657,0,df
658,658,0,df
659,659,0,df
660,660,0,df
661,661,0,df
662,662,0,df
663,663,0,df
664,664,0,df
665,665,0,df
666,666,0,df
667,667,0,df
668,668,0,df
669,669,0,df
670,670,0,df
671,671,0,df
672,672,0,df
673,673,0,df
674,674,0,df
675,675,0,df
676,676,0,df
677,677,0,df
678,678,0,df
679,679,0,df
680,680,0,df
681,681,0,df
682,682,0,df
683,683,0,df
684,684,0,df
685,685,0,df
686,686,0,df
687,687,0,df
688,688,0,df
689,689,0,df
690,690,0,df
691,691,0,df
692,692,0,df
693,693,0,df
694,694,0,df
695,695,0,df
696,696,0,df
697,697,0,df
698,698,0,df
699,699,0,df
700,700,0,df
701,701,0,df
702,702,0,df
703,703,0,df
704,704,0,df
705,705,0,df
706,706,0,df
707,707,0,df
708,708,0,df
709,709,0,df
710,710,0,df
711,711,0,df
712,712,0,df
713,713,0,df
714,714,0,df
715,715,0,df
716,716,0,df
717,717,0,df
718,718,0,df
719,719,0,df
720,720,0,df
721,721,0,df
722,722,0,df
723,723,0,df
724,724,0,df
725,725,0,df
726,726,0,df
727,727,0,df
728,728,0,df
729,729,0,df
730,730,0,df
731,731,0,df
732,732,0,df
733,733,0,df
734,734,0,df
735,735,0,df
736,736,0,df
737,737,0,df
738,738,0,df
739,739,0,df
740,740,0,df
741,741,0,df
742,742,0,df
743,743,0,df
744,744,0,df
745,745,0,df
746,746,0,df
747,747,0,df
748,748,0,df
749,749,0,df
750,750,0,df
751,751,0,df
752,752,0,df
753,753,0,df
754,754,0,df
755,755,0,df
756,756,0,df
757,757,0,df
758,758,0,df
759,759,0,df
760,760,0,df
761,761,0,df
762,762,0,df
763,763,0,df
764,764,0,df
765,765,0,df
766,766,0,df
767,767,0,df
768,768,0,df
769,769,0,df
770,770,0,df
771,771,0,df
772,772,0,df
773,773,0,df
774,774,0,df
775,775,0,df
776,776,0,df
777,777,0,df
778,778,0,df
779,779,0,df
780,780,0,df
781,781,0,df
782,782,0,df
783,783,0,df
784,784,0,df
785,785,0,df
786,786,0,df
787,787,0,df
788,788,0,df
789,789,0,df
790,790,0,df
791,791,0,df
792,792,0,df
793,793,0,df
794,794,0,df
795,795,0,df
796,796,0,df
797,797,0,df
798,798,0,df
799,799,0,df
800,800,0,df
801,801,0,df
802,802,0,df
803,803,0,df
804,804,0,df
805,805,0,df
806,806,0,df
807,807,0,df
808,808,0,df
809,809,0,df
810,810,0,df
811,811,0,df
812,812,0,df
813,813,0,df
814,814,0,df
815,815,0,df
816,816,0,df
817,817,0,df
818,818,0,df
819,819,0,df
820,820,0,df
821,821,0,df
822,822,0,df
823,823,0,df
824,824,0,df
825,825,0,df
826,826,0,df
827,827,0,df
828,828,0,df
829,829,0,df
830,830,0,df
831,831,0,df
832,832,0,df
833,833,0,df
834,834,0,df
835,835,0,df
836,836,0,df
837,837,0,df
838,838,0,df
839,839,0,df
840,840,0,df
841,841,0,df
842,842,0,df
843,843,0,df
844,844,0,df
845,845,0,df
846,846,0,df
847,847,0,df
848,848,0,df
849,849,0,df
850,850,0,df
851,851,0,df
852,852,0,df
853,853,0,df
854,854,0,df
855,855,0,df
856,856,0,df
857,857,0,df
858,858,0,df
859,859,0,df
860,860,0,df
861,861,0,df
862,862,0,df
863,863,0,df
864,864,0,df
865,865,0,df
866,866,0,df
867,867,0,df
868,868,0,df
869,869,0,df
870,870,0,df
871,871,0,df
872,872,0,df
873,873,0,df
874,874,0,df
875,875,0,df
876,876,0,df
877,877,0,df
878,878,0,df
879,879,0,df
880,880,0,df
881,881,0,df
882,882,0,df
883,883,0,df
884,884,0,df
885,885,0,df
886,886,0,df
887,887,0,df
888,888,0,df
889,889,0,df
890,890,0,df
891,891,0,df
892,892,0,df
893,893,0,df
894,894,0,df
895,895,0,df
896,896,0,df
897,897,0,df
898,898,0,df
899,899,0,df
900,900,0,df
901,901,0,df
902,902,0,df
903,903,0,df
904,904,0,df
905,905,0,df
906,906,0,df
907,907,0,df
908,908,0,df
909,909,0,df
910,910,0,df
911,911,0,df
912,912,0,df
